gamma,kappa,beta,scaling,tevent,I0
5.740063428925513,5.082012265460367,0.27354637263506437,5.684991794289287,359.1226318511961,956.296461749268
6.001177578066235,4.841373982929468,0.26425657443095696,5.5179123217121395,357.48723674636614,962.5641293518872
5.475880980815294,5.61829648958514,0.29262682413830976,6.439009509110234,359.09793204920123,978.2090923000034
5.588538069754964,5.776680958243408,0.2846215354839682,5.850459423331047,358.01670648750604,924.3256844128899
6.541448124870537,4.6032737468783145,0.24341995798196048,5.213122657323236,358.9812855248688,955.6179479335938
6.9254215290728105,4.121347451944897,0.22916919600197813,4.816198861130161,357.93296932221244,872.7119222402703
6.417876521345161,4.681664602755965,0.24968950199161355,5.454925467718276,359.02049591358275,999.5429677415127
6.480910407527352,4.915116027298427,0.24782531901104182,5.216109529292656,357.72313922161624,951.3585205634593
6.602066480081132,4.123455856518828,0.23724708246379558,5.178159575270795,359.33780417562525,978.4907926578967
6.398515153284961,4.353635303191488,0.24608468728289118,5.503880424833728,359.2788770826032,923.3672695042923
5.665882536728073,5.7500062337341955,0.2818581174504865,5.923552788904504,359.58106197520806,883.3464539635809
7.27436137878618,3.9518850092085076,0.21879207176226462,4.655475599550984,357.85176204543245,977.5940423056919
6.709634727419669,4.504118203356745,0.23677169921601945,5.087822868425979,357.1740840227458,943.1405662630671
6.194207627370493,4.654363877620694,0.25343517477206245,5.572279322720166,357.41256238991355,866.870384832386
6.8026100983274285,4.220831422701303,0.2350103407674431,4.947152517061343,359.6848577591413,827.1304153922382
6.399090115385251,4.4998922963742976,0.24634178393018935,5.202778165050558,358.2105614251106,900.7259862707331
6.502085056328521,4.768106946809754,0.247256280025947,5.264234978581314,359.9172745157055,931.5142620685264
5.628170501919563,5.566717473649412,0.2826629616409742,5.896441290727057,359.63076604436844,935.8657698688846
6.97466692685035,4.0644972145096725,0.22906780938941212,4.621028705836109,357.93576940495694,931.9174699724888
5.457931496619499,5.250081318915573,0.29097849274505827,6.332031507353113,359.17140583599524,832.6661820368578
5.82583224218533,5.462736973029882,0.2742449729797368,5.988673397622831,357.6659934634895,968.7930642187807
5.808257841947879,5.083935608433461,0.27459120091067996,5.834584248647701,359.5039065553519,879.8123077037552
6.6422816382983525,4.321539108329048,0.23977354837239054,4.849205486159362,358.3293073909107,864.6299299175147
5.9952631626742265,4.601165784353351,0.2640816654449027,5.69348894444356,359.9488522039501,892.232789538812
7.250126896113384,4.037117941401103,0.21994232406057532,4.902504192047686,357.94364178044225,902.1293383109988
6.4881971581852165,4.31028885439854,0.24531685589942928,5.222500106526295,358.16867749785257,840.9603403764022
6.431775501396844,4.8506671846310345,0.2485012751749339,5.238923462805088,358.26086847663,909.144931772608
6.087833971820972,4.554800171634126,0.25935414770395493,5.631144023837885,359.8520191769817,822.3364841921933
7.161784763802768,3.8113603110531273,0.2230090982187599,4.692554555025631,359.23068871371726,938.7492438222492
6.492615925367731,4.530698591040618,0.24401918286423394,5.224659601340079,358.4016140946643,946.6395085043039
5.669398736672988,5.140981776442197,0.28153425292350714,5.899318131203786,358.8673029504096,878.1569404200469
6.46069822310711,4.912830051538251,0.24490953652099262,5.079766956046814,359.48500900474784,933.0504891506747
5.886914518712881,4.711697307865192,0.26690167872855186,5.951254947609006,357.9171989255522,890.4241240169376
6.561267199847023,4.592315816097124,0.24277207535442946,5.17543219226819,359.68488081271244,936.8208047305413
5.874700272353695,5.322338225262748,0.2711942994006496,5.7525678498532775,357.33923857477896,920.7343323860729
5.7080641886396,5.395026897689887,0.2756715327625147,5.806349635245907,357.4399799793757,984.2655913187524
4.923020481814028,5.766330022160093,0.3217301606616026,6.895603639586178,359.3937486913576,729.8915196652745
6.202438851022198,4.869206465156689,0.2554644860166585,5.450523018563301,358.82547035252236,913.1023542071222
